epoch,loss,val_loss
0,0.18887019157409668,0.15378780663013458
1,0.1556832492351532,0.14426347613334656
2,0.1480184644460678,0.13676975667476654
3,0.1439790278673172,0.1355469673871994
4,0.14054372906684875,0.13126957416534424
5,0.13784635066986084,0.13130128383636475
6,0.1361849009990692,0.13024380803108215
7,0.1348441243171692,0.12871910631656647
8,0.13451282680034637,0.12740793824195862
9,0.13302698731422424,0.12687699496746063
10,0.13215894997119904,0.1261601746082306
11,0.1304224580526352,0.12517549097537994
12,0.12981843948364258,0.125032439827919
13,0.1286662369966507,0.12306641787290573
14,0.12779931724071503,0.12381146848201752
15,0.12787383794784546,0.12424404174089432
16,0.1273546665906906,0.12272844463586807
17,0.12634335458278656,0.1225207969546318
18,0.1264379471540451,0.12108097970485687
19,0.12634339928627014,0.12085545063018799
20,0.12521633505821228,0.1214461699128151
21,0.12554045021533966,0.12168150395154953
22,0.12527722120285034,0.11991404742002487
23,0.12455308437347412,0.11974093317985535
24,0.12461244314908981,0.11970040947198868
25,0.12372104078531265,0.12109707295894623
26,0.1231994479894638,0.12039988487958908
27,0.12348118424415588,0.11841294169425964
28,0.12313791364431381,0.12003069370985031
29,0.12234963476657867,0.11854453384876251
