epoch,loss,val_loss
0,9879.0712890625,8923.99609375
1,9467.0732421875,8411.5341796875
2,9125.12109375,8145.12646484375
3,9025.2529296875,8738.3369140625
4,8846.1953125,8696.76171875
5,8805.1552734375,8499.044921875
6,8735.734375,8158.7529296875
7,8922.1630859375,7932.6953125
8,8575.0390625,7933.42431640625
9,8584.4638671875,7939.85595703125
10,8566.8740234375,8074.048828125
11,8581.40234375,8621.4638671875
12,8449.931640625,8302.74609375
